descending order
DATA date is  22-07-02
ライバー,subscriberCount
GawrGura 4030000
MoriCalliope 2080000
兎田ぺこら 1960000
宝鐘マリン 1940000
白神フブキ 1890000
戌神ころね 1830000
WatsonAmelia 1680000
湊あくあ 1640000
白銀ノエル 1510000
星街すいせい 1510000
さくらみこ 1490000
NinomaeIna'nis 1430000
猫又おかゆ 1400000
TakabashiKiara 1380000
赤井はあと 1370000
大空スバル 1340000
百鬼あやめ 1280000
夏色まつり 1250000
角巻わため 1240000
天音かなた 1220000
獅白ぼたん 1190000
MoonaHoshinova 1110000
KureijiOllie 1100000
常闇トワ 1070000
紫咲シオン 1020000
雪花ラミィ 1010000
大神ミオ 1000000
尾丸ポルカ 987000
ときのそら 985000
桃鈴ねね 945000
不知火フレア 894000
KoboKanaeru 888000
癒月ちょこ 880000
沙花叉クロヱ 861000
ロボ子さん 843000
IRyS 840000
姫森ルーナ 816000
ラプラス・ダークネス 807000
OuroKronii 751000
夜空メル 727000
AyundaRisu 690000
アキ・ローゼンタール 686000
NanashiMumei 669000
AZKi 648000
PavoliaReine 642000
博衣こより 638000
AiraniIofifteen 592000
風真いろは 578000
HakosBaelz 573000
CeresFauna 567000
鷹嶺ルイ 547000
AnyaMelfissa 506000
VestiaZeta 446000
TsukumoSana 338000
KaelaKovalskia 316000
