descending order
DATA date is  22-10-07
ライバー,VideoCount
白神フブキ 1675
ロボ子さん 1093
兎田ぺこら 1066
角巻わため 1046
不知火フレア 948
天音かなた 926
さくらみこ 874
赤井はあと 865
夏色まつり 855
常闇トワ 793
桐生ココ 788
宝鐘マリン 781
尾丸ポルカ 771
大空スバル 756
白銀ノエル 721
雪花ラミィ 720
ときのそら 712
猫又おかゆ 680
PavoliaReine 673
獅白ぼたん 672
WatsonAmelia 658
アキ・ローゼンタール 654
TakabashiKiara 634
戌神ころね 616
KureijiOllie 595
大神ミオ 589
AyundaRisu 581
MoriCalliope 554
星街すいせい 551
桃鈴ねね 550
博衣こより 547
姫森ルーナ 537
癒月ちょこ 516
MoonaHoshinova 483
AiraniIofifteen 470
紫咲シオン 458
鷹嶺ルイ 456
湊あくあ 455
NinomaeIna'nis 449
AnyaMelfissa 420
GawrGura 381
夜空メル 348
HakosBaelz 289
KaelaKovalskia 278
AZKi 252
風真いろは 251
CeresFauna 233
IRyS 229
ラプラス・ダークネス 223
NanashiMumei 222
百鬼あやめ 218
VestiaZeta 199
沙花叉クロヱ 197
OuroKronii 179
KoboKanaeru 156
TsukumoSana 99
